nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk,area
[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,1000,5.0,Jabodetabek
Kerupuk Seblak kering pedas RIKI,8800,Van Kios,Bandung,1000,4.9,Luar Jabodetabek
Seblak Rafael,25000,Seblak Rafael Official,Kab. Garut,40,4.8,Luar Jabodetabek
cuanki lidah asli garut isi 150 pcs,31000,kira3arut,Kab. Garut,9000,4.9,Luar Jabodetabek
[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan - Batagor Kuah,17000,Central Seblak Nusantara,Tangerang Selatan,1000,5.0,Jabodetabek
Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,60000,Lidigeli,Kab. Garut,24,4.2,Luar Jabodetabek
Cancimen Seblak Ramen Mas Miun Instan Cemilan Cup Kekinian Khas Garut,17000,The Little Snacks,Tangerang Selatan,60,5.0,Jabodetabek
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,12500,CUANKI CULAMETAN,Kab. Garut,250,4.9,Luar Jabodetabek
Kerupuk Seblak Pedas/Kerupuk Seblak Bantet Pedas 250 Gram,12500,jsr rempah indonesia,Jakarta Selatan,17,5.0,Jabodetabek
Kerupuk Pedas Sebring Seblak Keriting Extra Pedas Kencur isi 150 Gram,12000,toko kue pundi mas,Jakarta Pusat,100,4.8,Jabodetabek
KERUPUK MENTAH KERUPUK SEBLAK MENTAH 500 GR,12500,BociKakang,Jakarta Selatan,100,4.9,Jabodetabek
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,51771,Grosir Besar Kalimantan,Banjarbaru,16,5.0,Luar Jabodetabek
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,63000,Sajodo Snack & Food,Tasikmalaya,17,5.0,Luar Jabodetabek
Kylafood Paket 2 Seblak Original 3 Batagor Kuah,96375,kylafood,Bandung,250,4.9,Luar Jabodetabek
SEBLAK ACI JAGUAR BASO ACI BAKSO ACI NIKMAT BELI 5 GRATIS 1,10000,Uai Food,Surabaya,30,4.4,Luar Jabodetabek
"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",55875,kylafood,Bandung,500,4.9,Luar Jabodetabek
seblak ceker pedas (Snack Cemilan) . Seblak Ceker Snack Makanan Ringan,12000,rendy store snack,Tangerang Selatan,100,4.9,Jabodetabek
Seblak Instan Carla 100gr,14000,3Key Frozen,Tangerang,30,5.0,Jabodetabek
"siomay mini kering 250 gr enak renyah untuk basoaci,seblak,cemilan dll",9999,aghniya,Tangerang Selatan,100,4.8,Jabodetabek
Cireng Seblak Instan,18500,JajananArkanAnin,Kab. Bogor,6,5.0,Jabodetabek
seblak ceker pedas,8950,snack_it,Tangerang Selatan,250,4.9,Jabodetabek
Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,28000,Pedas Gilaa,Surabaya,500,4.9,Luar Jabodetabek
KERUPUK SEBLAK / SEBLAK GORENG / SEBLAK KERING RAFAEL / KRUPUK PEDAS,16000,ngemildotcom,Depok,16,5.0,Jabodetabek
Bumbu Seblak 200 g Dengan Kerupuk,34980,MSH Rempah,Jakarta Selatan,80,5.0,Jabodetabek
BUMBU KENCUR SEBLAK INSTANT,1200,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,500,5.0,Jabodetabek
Seblak Bantat Boboko Pedas Daun Jeruk Level 13 Khas Bandung 200g,18700,Gerai Snack Official Shop,Kab. Tangerang,100,4.7,Jabodetabek
Kylafood Seblak Rempah Autentik isi (5pcs),45235,kylafood,Bandung,100,4.6,Luar Jabodetabek
seblak keong pedas maknyus - 100 gram,10000,jajansnacks jkt,Jakarta Barat,100,4.9,Jabodetabek
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,32500,kylafood,Bandung,50,4.4,Luar Jabodetabek
Basranger Baso Aci Cuanki Extra Pedas 200gr - Makanan Instan Premium,23400,Rak Sebelah,Jakarta Pusat,100,4.9,Jabodetabek
 Kylafood Seblak karuhun,10530,kylafood,Bandung,4000,4.8,Luar Jabodetabek
KERUPUK SEBLAK 250gr / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,12500,Dapur Sehat21,Kab. Bandung,100,4.9,Luar Jabodetabek
kerupuk seblak cocol mentah viral mawar 100gram,5000,cemilanceuromlah,Bandung,250,5.0,Luar Jabodetabek
keripik seblak/Seblak Kering/Kerupuk Bantat/Sebring/mak cudot 70gr,5125,mak_cudot,Jakarta Utara,10,5.0,Jabodetabek
kerupuk seblak kencur pedas gurih,5500,RIKI STORE 97,Kab. Bogor,40,4.6,Jabodetabek
"Kerupuk seblak rafael 1 Kg, 500 Gr, 250 Gr, 100 gr",11000,Sari Barokah Mandiri,Tangerang,7,5.0,Jabodetabek
10 BUNGKUS SEBLAK COBEK ALA RAFAEL,40000,global cookware1,Jakarta Barat,5,5.0,Jabodetabek
SEBLAK BANTAT PEDES DAUN JERUK 250GR,18000,Madinah Oleh Oleh Bdg,Bandung,100,4.9,Luar Jabodetabek
GRATIS KARDUS CUANKI MIX MURAH - BISA COD - TOPING SEBLAK - BASO ACI,30000,Distributor Cuanki dan Seblak,Kab. Bekasi,40,4.8,Jabodetabek
Sabring kerupuk seblak kering pedas 75 gram,5000,RIKI STORE 97,Kab. Bogor,28,4.2,Jabodetabek
"SAWARGI Snack, Kerupuk seblak, Seblak kering, Sebring, 1/4kg",17000,Sawargi Snack,Bandung,250,4.8,Luar Jabodetabek
Kylafood Mix Pentol Kuah dan Seblak Original,39500,kylafood,Bandung,16,5.0,Luar Jabodetabek
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,10200,Foodstocks,Jakarta Selatan,30,5.0,Jabodetabek
Kylafood Seblak Rempah Autentik isi (10pcs),90470,kylafood,Bandung,50,4.9,Luar Jabodetabek
Seblak Pedas Kicimpring Iyagasih,15000,Gerai Singawada,Kab. Majalengka,6,5.0,Luar Jabodetabek
SEBRING 250 GRAM / KERUPUK SEBLAK MAWAR,14000,Dapur Sehat21,Kab. Bandung,11,5.0,Luar Jabodetabek
Sabring kerupuk seblak jablay pedas Jumbo,15000,RIKI STORE 97,Kab. Bogor,20,4.8,Jabodetabek
Bumbu seblak instant 10pcs,16022,arjuna shop1,Bandung,750,4.9,Luar Jabodetabek
Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,13500,Distributor Cuanki dan Seblak,Kab. Bekasi,250,4.8,Jabodetabek
kerupuk seblak polos pedas 500gr jajanan cemilan sneck makanan keripik,20000,pelangi khatulistiwa 2,Surabaya,40,4.9,Luar Jabodetabek
KRUPUK SEBLAK BANTET KENCUR 250gr / SNACK KILOAN MURAH / SEBLAK CIKUR,8999,almasnack,Kab. Bekasi,50,4.9,Jabodetabek
"siomay pedas kering,daun jeruk,500g,cemilan pedas,seblak,siomay bandun",23000,anugrah seblak,Kab. Bandung,250,4.7,Luar Jabodetabek
SEBLAK INSTAN | SEBLAK INSTAN HOMEMADE SUPER LENGKAP,4999,Kairashop_id,Surabaya,19,4.4,Luar Jabodetabek
KERUPUK PEDAS JABLAY PELANGI 500gr / Seblak Kering Bantat Seblak,32198,AHR Jaya Snack,Jakarta Timur,10,5.0,Jabodetabek
Kerupuk Mentah seblak 1kg,18000,DINAYASHOP,Jakarta Barat,70,4.5,Jabodetabek
KERUPUK STIK SEBLAK 200 GRAM,12500,GUPONG ABIMANYU,Depok,17,5.0,Jabodetabek
baso aci / seblak instan/ batagor kuah milanial,5999,Suncity.,Kab. Tangerang,2000,4.9,Jabodetabek
Kerupuk Joged Bawang Bibir Warna Warni mentah 500gr Seblak,12000,insanprimastore,Tangerang Selatan,20,4.9,Jabodetabek
Cuanki tahu Gepeng Geprek isi 20 pcs toping seblak baso Aci baso,8500,Distributor Cuanki dan Seblak,Kab. Bekasi,80,4.8,Jabodetabek
"seblak kerupuk kering,pedo,krupuk mawar,pedas daun jeruk,kerupuk gelun",5000,SEBLAK MANTUL,Kab. Bandung,90,4.9,Luar Jabodetabek
kerupuk seblak bintang pedas,15500,keyz shop78,Bandung,60,4.8,Luar Jabodetabek
CAMILAN SEBLAK PEDAS 250GR JAJANAN OLEH-OLEH SNACK KILOAN CAMILAN KILO,12500,LARISSA SNACK STORE,Semarang,100,4.8,Luar Jabodetabek
(PROMO MURAH) Seblak instan jajanan khas bandung by karoppotta,8380,karoppotta official,Makassar,60,4.9,Luar Jabodetabek
[READY MEDAN] Extra Topping Baso Aci Cuanki Seblak - Tahu Siomay Mini,4000,CemilanPuas,Medan,250,4.4,Luar Jabodetabek
"(COD) seblak kering kerupuk jengkol bumbu basah,pedas",25000,anugrah seblak,Kab. Bandung,40,4.8,Luar Jabodetabek
kerupuk seblak kencur / kerupuk seblak kering - 250gram,13000,yumnaa snack,Kab. Bekasi,40,4.8,Jabodetabek
Kerupuk Seblak Jeruk,14000,oke snack,Jakarta Selatan,250,4.9,Jabodetabek
Mommy Seblak Basah Instan 100gr,9750,Fortuneolshop888,Kab. Bogor,250,4.9,Jabodetabek
Seblak MOMMY Cemilan yang Luar Biasa,11400,ErJu,Bandung,10000,4.7,Luar Jabodetabek
KERUPUK PEDAS SEBLAK PELANGI 250 GR,15000,TOKO KUE MEISYA 2,Jakarta Pusat,30,5.0,Jabodetabek
"cuanki sohu khas garut -+100 btr enak,renyah cocok baso aci,seblak dll",14999,aghniya,Tangerang Selatan,250,5.0,Jabodetabek
COMBO HALU! 2PC SEBLAK MIE HALU - EMAK INDAH FOOD,39600,Pempek Emak Indah,Jakarta Barat,50,5.0,Jabodetabek
TOPPING SEBLAK/baso Aci paket mix super murah khas Garut/cuanki/siomay,69999,ArfaOnlineShop,Tangerang,90,4.9,Jabodetabek
Kylafood Seblak Karuhun Play,10530,kylafood,Bandung,250,4.9,Luar Jabodetabek
Kylafood Seblak Mie Baso,21450,kylafood,Bandung,4000,4.9,Luar Jabodetabek
SEBLAK ACI INSTAN JAGUAR TERLEZAT MIE SEBLAK INSTANT JAGUAR SEBLAK - Seblak Aci Ayam,10000,Uai Food,Surabaya,80,5.0,Luar Jabodetabek
Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,91125,kylafood,Bandung,3000,4.9,Luar Jabodetabek
seblak instan om brewok,14000,Muysproduct,Kab. Bogor,2,5.0,Jabodetabek
Kylafood Seblak Mie Baso Sapi Play,21450,kylafood,Bandung,250,4.9,Luar Jabodetabek
Bakso Aci Instan Murah Asli Bandung Frozen Baso Cilok Kuah Kenyang,5702,Berkah Food Bandung,Cimahi,10000,4.9,Luar Jabodetabek
Kylafood Seblak Tulang Rawan Play,19110,kylafood,Bandung,500,4.9,Luar Jabodetabek
seblak instan mie bakso om brewok,16000,Muysproduct,Kab. Bogor,5,5.0,Jabodetabek
kerupuk seblak bantet kemasan,5000,arsensnack,Kab. Bekasi,22,4.9,Jabodetabek
kerupuk seblak extra pedas murah meriah,5000,RIKI STORE 97,Kab. Bogor,12,4.7,Jabodetabek
Kerupuk Seblak bumbu kacang,13000,Allsnackbandung,Bandung,100,5.0,Luar Jabodetabek
SEBLAK KERING 100gr DUA VARIAN RASA,4500,jajanangarut19,Jakarta Selatan,100,4.7,Jabodetabek
Kylafood Seblak Tulang Rawan,24500,kylafood,Bandung,8000,4.9,Luar Jabodetabek
BASO ACI TULANG RANGU 100 GR,21700,Rak Sebelah,Jakarta Pusat,3000,4.9,Jabodetabek
PAKET HEMAT (2 Seblak original - Seblak Karuhun - Cireng Bumbu Rujak),56250,kylafood,Bandung,750,4.9,Luar Jabodetabek
Baso Aci Mak Igun / Bakso Aci Tulang Rangu Mak Igun - Tulang Rangu,41650,Foodstocks,Jakarta Selatan,100,4.9,Jabodetabek
Kylafood Seblak Rempah Autentik isi (20 pcs),216630,kylafood,Bandung,10,5.0,Luar Jabodetabek
Seblak Instan LALA komplit rasa mantap ngeunah raos pisan khas Bandung,60000,Seblak carla,Tangerang,90,5.0,Jabodetabek
"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",23000,anugrah seblak,Kab. Bandung,250,4.8,Luar Jabodetabek
1kg GURILEM Siomay Mini bahan Pelengkap Boci seblak dan cuanki,29500,lahawelah,Kab. Garut,750,4.9,Luar Jabodetabek
Kerupuk Seblak 100 gram-Tantaz Snack,6500,tantaz_Snack,Tangerang Selatan,23,4.8,Jabodetabek
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg POCO / PUYUR,21000,SuperSnacksShop,Kab. Bandung,90,4.8,Luar Jabodetabek
kerupuk mix 250 gram campuran seblak,7399,ArfaOnlineShop,Tangerang,70,5.0,Jabodetabek
SEBLAK INSTAN special bumbu kencur rasa lezat,5999,aghniya,Tangerang Selatan,2000,4.8,Jabodetabek
kerupuk seblak keriting/seblak bulat/kerupuk keriting pedas,15000,shofia snack bekasi,Kab. Bekasi,100,4.7,Jabodetabek
Kylafood Basreng pedas kemasan 100g,13900,kylafood,Bandung,750,4.9,Luar Jabodetabek
CUANKIE PARAHYANGAN INSTAN RASA CUANKIE ASELI - OLEH OLEH BANDUNG,19500,Cuankie Parahyangan,Kab. Bandung Barat,9,5.0,Luar Jabodetabek
Kylafood Seblak Mie Tulang Rawan,25500,kylafood,Bandung,3000,4.9,Luar Jabodetabek
Keripik Singkong Balado Christine Hakim,36000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,2000,4.9,Jabodetabek
KERUPUK PEDAS KRIWIL 500gr / KRUPUK SEBLAK SUPER PEDAS,32200,AHR Jaya Snack,Jakarta Timur,9,5.0,Jabodetabek
cuanki/cuankie lidah isi 50 pcs khas Garut baso Aci/boci/seblak,16999,ArfaOnlineShop,Tangerang,80,4.9,Jabodetabek
SEBLAK CIRENG SHAZA SEBLAK INSTAN,12000,Dingdong Food,Tangerang Selatan,70,4.9,Jabodetabek
kerupuk seblak Pedas 75 gram gurih,5000,RIKI STORE 97,Kab. Bogor,6,4.0,Jabodetabek
"Bumbu asin gurih extra rempah 250 gr. Untuk kuah baso aci,seblak dll",15999,aghniya,Tangerang Selatan,250,4.9,Jabodetabek
"SIOMAY MINI 1 BALL ISI 5 KILO TOPING BASO ACI, SEBLAK",150000,global cookware1,Jakarta Barat,100,4.8,Jabodetabek
aneka kerupuk mix untuk bahan seblak 100 gr,3499,aghniya,Tangerang Selatan,100,4.9,Jabodetabek
Kerupuk RANTAI 250gr SEBLAK Warna Warni,4987,yohangunawan94,Bandung,500,5.0,Luar Jabodetabek
aneka kerupuk mix untuk bahan seblak 500 gr,14999,aghniya,Tangerang Selatan,100,5.0,Jabodetabek
 Kylafood Paket 4 Seblak Original 1 Batagor,85875,kylafood,Bandung,1000,4.9,Luar Jabodetabek
jagung marning 250 gr,16000,oke snack,Jakarta Selatan,500,4.9,Jabodetabek
Kylafood Seblak Original Isi 10 pcs,167700,kylafood,Bandung,13,5.0,Luar Jabodetabek
Kylafood Basreng Pedas 1000g,72800,kylafood,Bandung,70,5.0,Luar Jabodetabek
Kylafood Toping Batagor,9360,kylafood,Bandung,2000,4.9,Luar Jabodetabek
STIK KERUPUK SEBLAK PEDAS 250 GRAM,20000,Akang Kripik,Jakarta Timur,15,5.0,Jabodetabek
Ready seblak basreng pedas daun jeruk 1kg basreng bandung renyah gurih,50000,seblak bandung99,Kab. Bandung,750,4.9,Luar Jabodetabek
KRUPUK KREBO 180GR/KRUPUK KRIBO SEBLAK PEDAS/CEMILAN MURAH/SNAC KILOAN,11500,Agen Snack Murah,Jakarta Barat,100,4.7,Jabodetabek
Kerupuk Krupuk Seblak Putih Kering Pedas Oleh Oleh Bandung Odjolali,10500,Storio Store,Tangerang Selatan,30,4.5,Jabodetabek
Kerupuk seblak pedas 75 gram,5000,RIKI STORE 97,Kab. Bogor,20,4.0,Jabodetabek
Kerupuk indosari gado gado dan seblak,18900,Agen bawang goreng mas YO,Kab. Bogor,100,4.9,Jabodetabek
krupuk seblak bumbu kacang,16800,H Nugraha,Bandung,30,4.8,Luar Jabodetabek
Seblak Tulang Rawan k.y.l Kylafood (Spesial Panen Telur),17550,kylafood,Bandung,30,5.0,Luar Jabodetabek
Cipet somay kering segitiga isi 20 pcs toping seblak baso Aci cuanki,6999,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.8,Jabodetabek
SEBLAK INSTAN SIAP SAJI,15897,nyemilsaji,Kab. Bandung,1000,4.8,Luar Jabodetabek
Kerupuk seblak/bawang /500 gr,13000,fanyshop1,Jakarta Selatan,70,4.9,Jabodetabek
CEMILAN BOX MAKARONI SPIRAL GELUNG KERUPUK SEBLAK STICK PANGSIT,35789,nyemilsaji,Kab. Bandung,750,4.8,Luar Jabodetabek
Makanan Ringan Seblak Makaroni Spiral Pedas Kering,5000,BLIBET,Jakarta Barat,6,5.0,Jabodetabek
Kerupuk Seblak Pedas 200gr,12000,Utama.Snack,Surabaya,500,4.9,Luar Jabodetabek
Seblak Instan,11500,RN FROZEN FOOD,Jakarta Selatan,50,4.9,Jabodetabek
Kerupuk Seblak Mentah/ Krupuk Seblak Viral/ Kerupuk Mawar 5kg,109750,Makanan Tradisi Id,Jakarta Pusat,11,5.0,Jabodetabek
Sukro pilus Cikur Sari rasa 1kg - toping seblak - baso aci,35000,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.8,Jabodetabek
Pasar Keripik Cimol Seblak Pedas size Kecil 130g,12500,Pasar Keripik Bandung,Bandung,500,4.9,Luar Jabodetabek
paket kerupuk seblak,50000,cemalcemil_skuy,Tangerang,100,5.0,Jabodetabek
Kerupuk seblak kering kencur 500gram /seblak kering pedas daun jeruk,24700,oyun kriukzz,Kab. Bekasi,750,4.9,Jabodetabek
KERUPUK PEDAS JABLAY PELANGI 1kg / Seblak Kering Kerupuk Bantat Seblak,62098,AHR Jaya Snack,Jakarta Timur,6,5.0,Jabodetabek
"Kerupuk seblak/jablay pedas snack kiloan cemilan original, exp panjang",8500,amarsha_shop,Jakarta Utara,100,4.6,Jabodetabek
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,20000,KailaAini_collection,Kab. Bandung,60,5.0,Luar Jabodetabek
PAKET MIX HEMAT 50 BASO ACI/BOCI/SEBLAK/CUANKI,85000,ArfaOnlineShop,Tangerang,40,5.0,Jabodetabek
baso Aci/boci/seblak CUANKI LIDAH KHAS GARUT MURAH isi 100 pcs,39999,ArfaOnlineShop,Tangerang,6,5.0,Jabodetabek
Kerupuk SEBLAK KERITING PEDAS ( 1 Kg ),79000,KRIUK JAYA,Jakarta Barat,8,5.0,Jabodetabek
Kerupuk Seblak Kencur Gurih Asin Pedas 10 pcs/pak,7000,SerbaAda_6699,Bandung,30,5.0,Luar Jabodetabek
seblak instan KSN frozen,10400,Pelangi Girls Naget 2,Depok,100,5.0,Jabodetabek
SEBLAK INSTAN KARASA,5999,aghniya,Tangerang Selatan,500,4.9,Jabodetabek
cuanki lidah untuk baso aci dan seblak,15999,aghniya,Tangerang Selatan,1000,4.8,Jabodetabek
Seblak Instant Homemade,14000,Tea78,Tangerang,21,5.0,Jabodetabek
kerupuk seblak mentah kerupuk bawang 250gr,11900,BuyungBumbu,Jakarta Pusat,70,4.8,Jabodetabek
Seblak Bantat Boboko Pedas Daun Jeruk Level 20 Khas Bandung 125g,17700,Gerai Snack Official Shop,Kab. Tangerang,30,4.9,Jabodetabek
50pcs LIDAH Cuanki Batagor bahan Pelengkap Boci seblak dan cuanki,17999,lahawelah,Kab. Garut,250,4.9,Luar Jabodetabek
Seblak Original k.y.l Kylafood (Spesial Panen Telur),16770,kylafood,Bandung,1000,4.9,Luar Jabodetabek
Pilus Cikur Topping Baso Aci / Seblak,11500,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,250,4.8,Jabodetabek
Seblak Teh Betty Instant Travelsize,12500,baksorusukjossofficial,Bekasi,5,5.0,Jabodetabek
aneka kerupuk mix untuk bahan seblak 1 kg,24999,aghniya,Tangerang Selatan,100,5.0,Jabodetabek
Seblak Instant Carla 100 gr,13000,Rahmatika Freshmart,Tangerang Selatan,17,5.0,Jabodetabek
